mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,0,NVIDIA GB10,12.1,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,0,NVIDIA GB10,12.1,int8,INT8,INT32,INT32,4096,4096,4096,1.295488,1.359040,106.090488,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,0,NVIDIA GB10,12.1,int8,INT8,INT32,INT32,8192,8192,8192,7.071968,7.201088,155.474631,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,0,NVIDIA GB10,12.1,int8,INT8,INT32,INT32,16384,16384,16384,0.000000,0.000000,0.000000,TOPS,False,NOT_RUN,SKIPPED,,0,Matrix and workspace would use more than 75% of free GPU memory
isolated,0,NVIDIA GB10,12.1,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.674560,0.766912,203.746074,TFLOPS,False,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GB10,12.1,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,5.001600,5.930240,219.831989,TFLOPS,True,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GB10,12.1,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,41.480000,42.224545,212.056247,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GB10,12.1,nvfp4,FP4_E2M1,FP32,BF16,4096,4096,4096,0.398528,0.465344,344.866484,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GB10,12.1,nvfp4,FP4_E2M1,FP32,BF16,8192,8192,8192,2.951392,3.144992,372.540026,TFLOPS,True,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GB10,12.1,nvfp4,FP4_E2M1,FP32,BF16,16384,16384,16384,23.893440,24.322945,368.138407,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GB10,12.1,fp16,FP16,FP32,FP16,4096,4096,4096,1.405312,1.684960,97.799605,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GB10,12.1,fp16,FP16,FP32,FP16,8192,8192,8192,10.761568,10.958912,102.170206,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GB10,12.1,fp16,FP16,FP32,FP16,16384,16384,16384,83.707970,90.279839,105.080712,TFLOPS,True,PASS,OK,cuBLASLt algo 67 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GB10,12.1,bf16,BF16,FP32,BF16,4096,4096,4096,1.397216,1.606688,98.366292,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GB10,12.1,bf16,BF16,FP32,BF16,8192,8192,8192,10.781952,10.924064,101.977048,TFLOPS,True,PASS,OK,cuBLASLt algo 67 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GB10,12.1,bf16,BF16,FP32,BF16,16384,16384,16384,121.254974,125.452354,72.542121,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,0,NVIDIA GB10,12.1,tf32,FP32,FP32,FP32,4096,4096,4096,3.224832,3.617792,42.618949,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,0,NVIDIA GB10,12.1,tf32,FP32,FP32,FP32,8192,8192,8192,26.152897,26.776768,42.041676,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,8192,"actual=2048, expected=2048, tolerance=61.44"
isolated,0,NVIDIA GB10,12.1,tf32,FP32,FP32,FP32,12288,12288,12288,91.674850,92.202080,40.478405,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,18432,"actual=3072, expected=3072, tolerance=92.16"
isolated,0,NVIDIA GB10,12.1,fp32,FP32,FP32,FP32,4096,4096,4096,6.910496,6.943136,19.888435,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,2048,"actual=1024, expected=1024, tolerance=0.01024"
isolated,0,NVIDIA GB10,12.1,fp32,FP32,FP32,FP32,8192,8192,8192,51.765633,52.271458,21.240185,TFLOPS,True,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=0.02048"
isolated,0,NVIDIA GB10,12.1,fp32,FP32,FP32,FP32,12288,12288,12288,182.930298,188.384506,20.285605,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,0,"actual=3072, expected=3072, tolerance=0.03072"
isolated,0,NVIDIA GB10,12.1,fp64,FP64,FP64,FP64,2048,2048,2048,43.762112,43.778465,0.392574,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=512, expected=512, tolerance=1e-06"
isolated,0,NVIDIA GB10,12.1,fp64,FP64,FP64,FP64,4096,4096,4096,339.803284,342.318329,0.404466,TFLOPS,True,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=1e-06"
isolated,0,NVIDIA GB10,12.1,fp64,FP64,FP64,FP64,6144,6144,6144,1152.211304,1152.632690,0.402579,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1536, expected=1536, tolerance=1e-06"
